EP=8 DP=8
E	E/tok	tok	dim	Dispatch_lat	Dispatch_bw	Dispatch_bytes	Combine_lat	Combine_bw	Combine_bytes	Torch_lat	Torch_bw	Torch_bytes	NVSHMEM_lat	NVSHMEM_bw	NVSHMEM_bytes
64	6	1	2048	25.5μs ±  0.9μs	0.499GB/s	12672	22.2μs ±  1.7μs	1.113GB/s	24576	35.8μs ±  1.3μs	3.786GB/s	135168	30.7μs ±  1.1μs	4.411GB/s	135168
64	6	4	2048	21.6μs ±  3.6μs	2.389GB/s	50688	21.2μs ±  3.1μs	4.708GB/s	98304	52.7μs ± 65.0μs	13.669GB/s	540672	59.3μs ± 75.1μs	13.681GB/s	540672
64	6	8	2048	20.6μs ±  2.0μs	4.966GB/s	101376	15.8μs ±  0.7μs	12.483GB/s	196608	35.5μs ±  2.8μs	30.650GB/s	1081344	44.0μs ±  1.4μs	24.573GB/s	1081344
64	6	16	2048	22.5μs ±  1.7μs	9.063GB/s	202752	20.4μs ±  0.5μs	19.316GB/s	393216	29.1μs ±  2.5μs	74.697GB/s	2162688	60.3μs ±  1.3μs	35.862GB/s	2162688
64	6	32	2048	30.8μs ±  9.2μs	13.716GB/s	405504	26.7μs ±  1.4μs	29.568GB/s	786432	36.7μs ±  7.5μs	120.582GB/s	4325376	125.2μs ± 20.2μs	35.077GB/s	4325376
64	6	64	2048	37.2μs ±  2.2μs	21.847GB/s	811008	37.7μs ±  0.7μs	41.702GB/s	1572864	50.9μs ±  5.4μs	171.484GB/s	8650752	250.7μs ± 59.4μs	35.677GB/s	8650752
64	6	128	2048	58.9μs ±  1.9μs	27.575GB/s	1622016	67.6μs ±  0.6μs	46.549GB/s	3145728	78.8μs ±  2.2μs	219.650GB/s	17301504	484.0μs ±  7.3μs	35.758GB/s	17301504
256	8	1	7168	21.0μs ±  1.6μs	2.825GB/s	59136	21.8μs ±  0.5μs	5.258GB/s	114688	44.7μs ±  2.8μs	42.446GB/s	1892352	65.8μs ±  0.6μs	28.781GB/s	1892352
256	8	4	7168	23.1μs ±  3.9μs	10.427GB/s	236544	21.5μs ±  1.3μs	21.432GB/s	458752	47.2μs ± 11.9μs	166.272GB/s	7569408	218.0μs ± 102.3μs	38.112GB/s	7569408
256	8	8	7168	27.0μs ±  5.0μs	18.013GB/s	473088	23.0μs ±  0.8μs	39.943GB/s	917504	81.1μs ± 35.2μs	199.970GB/s	15138816	430.2μs ± 25.1μs	35.284GB/s	15138816
256	8	16	7168	30.2μs ±  2.8μs	31.626GB/s	946176	31.6μs ±  0.6μs	58.019GB/s	1835008	120.3μs ±  4.3μs	251.913GB/s	30277632	827.5μs ±  3.7μs	36.591GB/s	30277632
256	8	32	7168	36.1μs ±  1.9μs	52.563GB/s	1892352	48.9μs ±  0.6μs	75.016GB/s	3670016	201.3μs ±  2.6μs	300.928GB/s	60555264	1631.3μs ±  1.4μs	37.121GB/s	60555264
256	8	64	7168	48.1μs ±  1.8μs	78.814GB/s	3784704	76.0μs ±  0.5μs	96.527GB/s	7340032	379.0μs ±  2.3μs	319.551GB/s	121110528	3231.6μs ±  1.3μs	37.477GB/s	121110528
256	8	128	7168	78.1μs ±  3.2μs	97.128GB/s	7569408	147.6μs ±  0.9μs	99.487GB/s	14680064	729.1μs ± 13.0μs	332.309GB/s	242221056	6441.3μs ±  2.5μs	37.605GB/s	242221056
